underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,implied_underlying_price_1545,active_underlying_price_1545,implied_volatility_1545,delta_1545,gamma_1545,theta_1545,vega_1545,rho_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
SPY,2016-12-15,SPY,2016-12-16,155.000,P,0.0000,0.0000,0.0000,0.0000,3,0,0.0000,10032,0.0100,226.9000,226.9100,226.1169,226.9100,2.2559,-0.0007,0.0001,-0.0050,0.0003,-0.0004,0,0.0000,6380,0.0100,226.8700,226.8900,0.0000,24042,
SPY,2016-12-15,SPY,2016-12-16,156.000,C,0.0000,0.0000,0.0000,0.0000,0,15,70.5200,15,71.1300,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.4407,10,70.4000,10,71.1000,226.8700,226.8900,0.0000,1,
SPY,2016-12-15,SPY,2016-12-16,156.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,10916,0.0100,226.9000,226.9100,226.1169,226.9100,2.2232,-0.0007,0.0001,-0.0051,0.0003,-0.0005,0,0.0000,6414,0.0100,226.8700,226.8900,0.0000,13325,
SPY,2016-12-15,SPY,2016-12-16,157.000,C,0.0000,0.0000,0.0000,0.0000,0,10,69.6300,10,70.2500,226.9000,226.9100,226.1169,226.9100,4.3727,0.9508,0.0018,-0.0300,0.0116,0.4112,10,69.4000,10,70.1000,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,157.000,P,0.0000,0.0000,0.0000,0.0000,1,0,0.0000,11233,0.0100,226.9000,226.9100,226.1169,226.9100,2.1810,-0.0007,0.0001,-0.0049,0.0003,-0.0004,0,0.0000,6422,0.0100,226.8700,226.8900,0.0000,2556,
SPY,2016-12-15,SPY,2016-12-16,158.000,C,0.0000,0.0000,0.0000,0.0000,0,10,68.6400,10,69.2500,226.9000,226.9100,226.1169,226.9100,4.2908,0.9508,0.0019,-0.0350,0.0116,0.4141,10,68.4000,10,69.1000,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,158.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,9655,0.0100,226.9000,226.9100,226.1169,226.9100,2.1519,-0.0007,0.0001,-0.0051,0.0003,-0.0005,0,0.0000,5412,0.0100,226.8700,226.8900,0.0000,3685,
SPY,2016-12-15,SPY,2016-12-16,159.000,C,0.0000,0.0000,0.0000,0.0000,0,10,67.5200,10,68.1300,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.4492,10,67.6700,10,68.3700,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,159.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,9699,0.0100,226.9000,226.9100,226.1169,226.9100,2.1144,-0.0007,0.0001,-0.0050,0.0003,-0.0005,0,0.0000,7364,0.0100,226.8700,226.8900,0.0000,10924,
SPY,2016-12-15,SPY,2016-12-16,160.000,C,66.9300,66.9300,66.9300,66.9300,90,15,66.6300,15,67.2500,226.9000,226.9100,226.1169,226.9100,4.1180,0.9511,0.0019,-0.0300,0.0115,0.4201,10,66.6700,10,67.3700,226.8700,226.8900,66.9300,39,
SPY,2016-12-15,SPY,2016-12-16,160.000,P,0.0100,0.0100,0.0100,0.0100,1,0,0.0000,10234,0.0100,226.9000,226.9100,226.1169,226.9100,2.0781,-0.0007,0.0001,-0.0050,0.0003,-0.0005,0,0.0000,5782,0.0100,226.8700,226.8900,0.0100,50750,
SPY,2016-12-15,SPY,2016-12-16,161.000,C,0.0000,0.0000,0.0000,0.0000,0,10,65.5200,10,66.1300,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.4549,10,65.6700,10,66.3700,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,161.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,11445,0.0100,226.9000,226.9100,226.1169,226.9100,2.0420,-0.0007,0.0001,-0.0050,0.0003,-0.0005,0,0.0000,8869,0.0100,226.8700,226.8900,0.0000,3179,
SPY,2016-12-15,SPY,2016-12-16,162.000,C,0.0000,0.0000,0.0000,0.0000,0,10,64.5200,10,65.1300,226.9000,226.9100,226.1169,226.9100,0.0200,1.0000,0.0000,0.0000,0.0000,0.4577,10,64.6700,10,65.3700,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,162.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,11434,0.0100,226.9000,226.9100,226.1169,226.9100,2.0085,-0.0007,0.0001,-0.0050,0.0003,-0.0005,0,0.0000,5817,0.0100,226.8700,226.8900,0.0000,2463,
SPY,2016-12-15,SPY,2016-12-16,163.000,C,0.0000,0.0000,0.0000,0.0000,0,10,63.6400,10,64.2500,226.9000,226.9100,226.1169,226.9100,3.8769,0.9513,0.0020,-0.0350,0.0115,0.4289,10,63.4000,10,64.1000,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,163.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,11390,0.0100,226.9000,226.9100,226.1169,226.9100,1.9738,-0.0008,0.0001,-0.0050,0.0003,-0.0005,0,0.0000,6156,0.0100,226.8700,226.8900,0.0000,1691,
SPY,2016-12-15,SPY,2016-12-16,164.000,C,0.0000,0.0000,0.0000,0.0000,0,10,62.6300,10,63.2500,226.9000,226.9100,226.1169,226.9100,3.7929,0.9515,0.0021,-0.0300,0.0114,0.4319,10,62.4000,10,63.1000,226.8700,226.8900,0.0000,0,
SPY,2016-12-15,SPY,2016-12-16,164.000,P,0.0000,0.0000,0.0000,0.0000,0,0,0.0000,11562,0.0100,226.9000,226.9100,226.1169,226.9100,1.9404,-0.0008,0.0001,-0.0050,0.0003,-0.0005,0,0.0000,6159,0.0100,226.8700,226.8900,0.0000,1129,
